epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,379.642,0.58065,0.41225,0.92281,0.93818,0.94485,0.96378,0.86399,0.4971,0.4034,0.75848,0.000990365,0.000990365,0.000990365
43,388.512,0.57033,0.40862,0.91649,0.94859,0.95124,0.96206,0.86963,0.49739,0.37847,0.75911,0.000973861,0.000973861,0.000973861
44,397.532,0.55894,0.40984,0.91951,0.94432,0.94325,0.95576,0.85559,0.48921,0.38358,0.76105,0.000957358,0.000957358,0.000957358
45,406.349,0.56079,0.41331,0.91684,0.94343,0.95195,0.95887,0.863,0.51481,0.38725,0.77188,0.000940855,0.000940855,0.000940855
46,415.392,0.57327,0.42295,0.92346,0.95895,0.94745,0.96435,0.86274,0.49135,0.37117,0.76162,0.000924352,0.000924352,0.000924352
47,424.371,0.55572,0.39762,0.91705,0.95433,0.94459,0.96648,0.87052,0.50116,0.36363,0.76777,0.000907848,0.000907848,0.000907848
48,433.476,0.55072,0.39819,0.91661,0.94305,0.94172,0.96777,0.8738,0.48754,0.36983,0.77125,0.000891345,0.000891345,0.000891345
49,442.558,0.54654,0.39259,0.91005,0.94567,0.94935,0.9693,0.8753,0.46936,0.35531,0.76435,0.000874842,0.000874842,0.000874842
50,451.727,0.54897,0.39224,0.91136,0.95369,0.91666,0.9597,0.87927,0.49718,0.37442,0.7561,0.000858338,0.000858338,0.000858338
51,460.473,0.54481,0.39114,0.9074,0.94831,0.96107,0.97077,0.87943,0.46074,0.35833,0.75846,0.000841835,0.000841835,0.000841835
52,469.292,0.53817,0.38946,0.90991,0.94206,0.94275,0.96436,0.87057,0.49694,0.38012,0.77304,0.000825332,0.000825332,0.000825332
53,478.24,0.54782,0.39148,0.91168,0.96231,0.94624,0.96848,0.87307,0.47883,0.35757,0.76329,0.000808828,0.000808828,0.000808828
54,487.361,0.54668,0.38867,0.91494,0.95927,0.95318,0.97208,0.87817,0.47173,0.34949,0.75346,0.000792325,0.000792325,0.000792325
55,496.428,0.52567,0.37845,0.90359,0.94456,0.95818,0.9668,0.87872,0.46217,0.35093,0.75485,0.000775822,0.000775822,0.000775822
56,505.404,0.53686,0.37879,0.9075,0.95246,0.94796,0.96086,0.87274,0.47189,0.3595,0.75432,0.000759318,0.000759318,0.000759318
57,514.59,0.53057,0.36283,0.90253,0.94911,0.95062,0.96722,0.87678,0.47633,0.36039,0.75181,0.000742815,0.000742815,0.000742815
58,523.587,0.51638,0.36031,0.8996,0.95284,0.95497,0.96676,0.86587,0.48639,0.35151,0.77549,0.000726312,0.000726312,0.000726312
59,532.62,0.51697,0.35932,0.90074,0.95094,0.95831,0.97059,0.88026,0.48694,0.34667,0.76147,0.000709809,0.000709809,0.000709809
60,541.52,0.5222,0.3716,0.90161,0.94699,0.95865,0.97321,0.87891,0.46796,0.34863,0.75233,0.000693305,0.000693305,0.000693305
61,550.801,0.51641,0.36681,0.90291,0.94297,0.93513,0.96096,0.86892,0.47419,0.37101,0.76081,0.000676802,0.000676802,0.000676802
62,559.804,0.5104,0.35701,0.89557,0.95221,0.95628,0.97171,0.88393,0.45791,0.32963,0.74908,0.000660299,0.000660299,0.000660299
63,568.703,0.50927,0.34634,0.90094,0.95445,0.95648,0.96999,0.88907,0.46199,0.3317,0.75454,0.000643795,0.000643795,0.000643795
64,577.559,0.49324,0.34016,0.89429,0.92819,0.93009,0.96624,0.87834,0.46509,0.36026,0.75952,0.000627292,0.000627292,0.000627292
65,586.66,0.50717,0.34308,0.89609,0.94094,0.95167,0.96212,0.87357,0.46253,0.35925,0.75644,0.000610789,0.000610789,0.000610789
66,595.513,0.51603,0.3497,0.90627,0.96647,0.93698,0.9675,0.87872,0.4617,0.34199,0.74699,0.000594286,0.000594286,0.000594286
67,604.716,0.50963,0.34698,0.90152,0.96061,0.9585,0.96836,0.88866,0.45035,0.32252,0.74925,0.000577782,0.000577782,0.000577782
68,613.636,0.50429,0.34634,0.89958,0.95797,0.95439,0.96793,0.88195,0.45352,0.33768,0.74536,0.000561279,0.000561279,0.000561279
69,622.777,0.49133,0.33741,0.89368,0.95746,0.94801,0.96599,0.88242,0.45439,0.33719,0.74667,0.000544776,0.000544776,0.000544776
70,631.873,0.49287,0.33391,0.89406,0.96032,0.9464,0.96733,0.88693,0.45932,0.33353,0.74629,0.000528272,0.000528272,0.000528272
71,640.899,0.49263,0.33462,0.89241,0.95825,0.94702,0.96782,0.88855,0.44299,0.3345,0.74281,0.000511769,0.000511769,0.000511769
72,649.975,0.49317,0.33179,0.89376,0.97006,0.94092,0.96549,0.87561,0.46494,0.33819,0.74945,0.000495266,0.000495266,0.000495266
73,659.087,0.49495,0.32918,0.89545,0.95394,0.95549,0.96428,0.88233,0.45828,0.32948,0.74537,0.000478762,0.000478762,0.000478762
74,668.119,0.48676,0.33282,0.89277,0.94636,0.95003,0.96202,0.87845,0.45479,0.33671,0.74765,0.000462259,0.000462259,0.000462259
75,677.23,0.4818,0.32819,0.88403,0.96094,0.95517,0.96617,0.88313,0.44049,0.32895,0.74145,0.000445756,0.000445756,0.000445756
76,686.048,0.48423,0.31585,0.89488,0.95423,0.9528,0.96296,0.8762,0.45626,0.33574,0.74925,0.000429253,0.000429253,0.000429253
77,695.112,0.47122,0.31194,0.88658,0.95113,0.9474,0.96548,0.87967,0.45285,0.34204,0.7488,0.000412749,0.000412749,0.000412749
78,703.948,0.48245,0.32341,0.89327,0.95133,0.94803,0.95837,0.87786,0.45321,0.33931,0.75076,0.000396246,0.000396246,0.000396246
79,712.858,0.47627,0.31731,0.88876,0.93281,0.95642,0.96621,0.88777,0.43742,0.32995,0.74305,0.000379743,0.000379743,0.000379743
80,721.854,0.48085,0.31731,0.89589,0.94693,0.94337,0.96189,0.88574,0.44089,0.34297,0.74446,0.000363239,0.000363239,0.000363239
81,730.895,0.47724,0.31262,0.88548,0.94261,0.95195,0.95857,0.8796,0.4467,0.33919,0.74668,0.000346736,0.000346736,0.000346736
82,739.792,0.46804,0.31507,0.88303,0.94118,0.93659,0.95557,0.87762,0.44426,0.36213,0.74014,0.000330233,0.000330233,0.000330233
83,748.607,0.47302,0.3106,0.88791,0.94072,0.93974,0.957,0.88011,0.44673,0.37017,0.74454,0.000313729,0.000313729,0.000313729
84,757.505,0.46978,0.31139,0.88907,0.95466,0.94298,0.96053,0.88246,0.44357,0.34632,0.74534,0.000297226,0.000297226,0.000297226
